threshold,budget,accuracy
0.9893930903820092,0.1970944139580695, 0.35238084469785624
0.7614572733291993,0.28788518362178134, 0.2844816370085122
0.6196179194084834,0.3875052764879696, 0.20713583333720623
0.4722215648553174,0.4805473476853806, 0.14353185258217369
0.4283583065298444,0.5769663711833404, 0.08957031589577752
0.29479270910633204,0.6955466441536513, 0.04217454632980946
0.18711038573974292,0.7872871816518925, 0.02044875016090317
0.11436746266042042,0.87213310820318, 0.009958473213841157
0.04722215648553174,0.9799493457154917, 0.0010189289355797691
